month,day,hour,usage
1,19,6,0.197
1,19,7,0.258
1,19,8,0.438
1,19,9,0.417
1,19,10,0.793
1,19,11,0.9
1,19,12,1.388
1,19,13,0.173
1,19,14,0.171
1,19,15,0.183
1,19,16,0.176
1,19,17,0.232
1,19,18,0.33
1,19,19,0.619
1,19,20,0.955
1,19,21,2.548
1,19,22,1.989
1,19,23,0.952
1,20,0,0.504
1,20,1,0.319
1,20,2,0.299
1,20,3,3.011
1,20,4,3.673
1,20,5,1.804
1,20,6,0.23
1,20,7,0.597
1,20,8,0.316
1,20,9,0.305
1,20,10,0.337
1,20,11,1.073
1,20,12,3.792
1,20,13,0.257
1,20,14,0.205
1,20,15,0.202
1,20,16,0.217
1,20,17,0.233
1,20,18,0.47
1,20,19,1.09
1,20,20,1.582
1,20,21,1.455
1,20,22,1.083
1,20,23,0.589
1,21,0,0.316
1,21,1,0.306
1,21,2,2.148
1,21,3,3.636
1,21,4,3.633
1,21,5,1.539
1,21,6,0.228
1,21,7,0.524
1,21,8,0.882
1,21,9,0.201
1,21,10,0.322
1,21,11,0.22
1,21,12,0.551
1,21,13,0.858
1,21,14,0.787
1,21,15,0.213
1,21,16,0.22
1,21,17,0.357
1,21,18,0.79
1,21,19,0.78
1,21,20,1.179
1,21,21,0.877
1,21,22,1.971
1,21,23,1.378
1,22,0,0.203
1,22,1,0.261
1,22,2,0.213
1,22,3,1.442
1,22,4,3.524
1,22,5,1.639
1,22,6,0.447
1,22,7,0.737
1,22,8,0.42
1,22,9,0.18
1,22,10,0.176
1,22,11,0.166
1,22,12,0.479
1,22,13,0.186
1,22,14,0.182
1,22,15,0.176
1,22,16,0.165
1,22,17,0.397
1,22,18,0.502
1,22,19,0.388
1,22,20,0.388
1,22,21,0.464
1,22,22,0.831
1,22,23,0.249
1,23,0,0.234
1,23,1,0.225
1,23,2,0.213
1,23,3,1.884
1,23,4,3.545
1,23,5,1.714
1,23,6,0.217
1,23,7,0.59
1,23,8,0.402
1,23,9,0.173
1,23,10,0.211
1,23,11,0.243
1,23,12,0.179
1,23,13,0.174
1,23,14,0.162
1,23,15,0.316
1,23,16,0.628
1,23,17,0.678
1,23,18,0.864
1,23,19,1.081
1,23,20,3.392
1,23,21,1.672
1,23,22,2.991
1,23,23,0.459
1,24,0,0.227
1,24,1,0.18
1,24,2,0.186
1,24,3,0.2
1,24,4,2.253
1,24,5,1.191
1,24,6,0.65
1,24,7,0.931
1,24,8,0.707
1,24,9,1.314
1,24,10,1.48
1,24,11,0.821
1,24,12,0.69
1,24,13,0.694
1,24,14,0.498
1,24,15,0.562
1,24,16,0.441
1,24,17,0.571
1,24,18,1.16
1,24,19,1.252
1,24,20,1.217
1,24,21,0.798
1,24,22,0.578
1,24,23,0.383
1,25,0,0.231
1,25,1,0.211
1,25,2,0.223
1,25,3,0.228
1,25,4,0.223
1,25,5,1.034
1,25,6,0.596
1,25,7,0.692
1,25,8,0.679
1,25,9,0.443
1,25,10,0.367
1,25,11,0.757
1,25,12,0.756
1,25,13,0.208
1,25,14,0.5
1,25,15,0.47
1,25,16,0.596
1,25,17,0.891
1,25,18,0.593
1,25,19,0.803
1,25,20,1.042
1,25,21,0.633
1,25,22,0.962
1,25,23,0.832
1,26,0,0.517
1,26,1,0.173
1,26,2,0.178
1,26,3,0.181
1,26,4,0.174
1,26,5,0.509
1,26,6,0.274
1,26,7,0.282
1,26,8,0.461
1,26,9,0.431
1,26,10,0.641
1,26,11,0.674
1,26,12,0.85
1,26,13,0.991
1,26,14,0.591
1,26,15,0.504
1,26,16,0.644
1,26,17,0.714
1,26,18,0.533
1,26,19,0.912
1,26,20,0.471
1,26,21,2.04
1,26,22,1.034
1,26,23,0.698
1,27,0,0.19
1,27,1,0.178
1,27,2,0.19
1,27,3,0.187
1,27,4,0.62
1,27,5,1.583
1,27,6,0.174
1,27,7,0.662
1,27,8,0.476
1,27,9,0.181
1,27,10,0.164
1,27,11,0.169
1,27,12,0.443
1,27,13,0.327
1,27,14,0.176
1,27,15,0.215
1,27,16,0.641
1,27,17,0.602
1,27,18,0.637
1,27,19,0.871
1,27,20,0.965
1,27,21,0.627
1,27,22,0.736
1,27,23,0.463
1,28,0,0.191
1,28,1,0.676
1,28,2,3.502
1,28,3,3.492
1,28,4,3.583
1,28,5,1.5
1,28,6,0.658
1,28,7,0.872
1,28,8,0.271
1,28,9,0.207
1,28,10,0.259
1,28,11,0.323
1,28,12,0.224
1,28,13,0.39
1,28,14,0.664
1,28,15,0.934
1,28,16,1.092
1,28,17,0.642
1,28,18,0.964
1,28,19,1.2
1,28,20,0.585
1,28,21,0.595
1,28,22,0.857
1,28,23,0.417
1,29,0,0.223
1,29,1,0.208
1,29,2,0.225
1,29,3,0.296
1,29,4,3.808
1,29,5,1.762
1,29,6,0.693
1,29,7,1.032
1,29,8,0.629
1,29,9,0.389
1,29,10,0.377
1,29,11,0.38
1,29,12,0.616
1,29,13,0.472
1,29,14,0.502
1,29,15,0.554
1,29,16,0.872
1,29,17,0.792
1,29,18,0.642
1,29,19,0.732
1,29,20,0.609
1,29,21,0.613
1,29,22,1.139
1,29,23,0.393
1,30,0,0.246
1,30,1,0.206
1,30,2,0.251
1,30,3,0.202
1,30,4,0.333
1,30,5,0.673
1,30,6,0.693
1,30,7,0.846
1,30,8,0.57
1,30,9,0.221
1,30,10,0.211
1,30,11,0.219
1,30,12,0.682
1,30,13,0.578
1,30,14,0.375
1,30,15,0.372
1,30,16,0.328
1,30,17,0.249
1,30,18,0.234
1,30,19,3.944
1,30,20,3.158
1,30,21,1.013
1,30,22,0.829
1,30,23,0.446
1,31,0,0.394
1,31,1,0.27
1,31,2,0.259
1,31,3,3.317
1,31,4,3.613
